Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
bus hire darlington,GBP,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
bus hire hartlepool,GBP,50,0%,0%,High,92,0.64,1.56,,,,,,,,,,,,,,,,,
bus hire northumberland,GBP,50,0%,0%,Medium,57,,,,,,,,,,,,,,,,,,,
coach companies darlington,GBP,50,0%,0%,Medium,40,,,,,,,,,,,,,,,,,,,
coach companies hartlepool,GBP,50,0%,0%,High,81,1.12,2.28,,,,,,,,,,,,,,,,,
coach companies in northumberland,GBP,50,0%,0%,High,86,,,,,,,,,,,,,,,,,,,
coach companies teesside,GBP,50,0%,∞,High,100,,,,,,,,,,,,,,,,,,,
coach hire alnwick,GBP,50,0%,0%,High,86,1.53,3.42,,,,,,,,,,,,,,,,,
coach hire cramlington,GBP,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
darlington mini bus hire,GBP,50,0%,0%,High,86,,,,,,,,,,,,,,,,,,,
mini bus hire alnwick,GBP,50,0%,0%,High,71,,,,,,,,,,,,,,,,,,,
mini bus hire morpeth,GBP,50,0%,0%,Medium,63,0.41,1.30,,,,,,,,,,,,,,,,,
mini bus hire northumberland,GBP,50,0%,0%,High,71,1.00,1.88,,,,,,,,,,,,,,,,,
minibus hire bedlington,GBP,50,∞,0%,High,86,,,,,,,,,,,,,,,,,,,
pattison's minibus hire darlington,GBP,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
self drive minibus hire hartlepool,GBP,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
self drive minibus hire northumberland,GBP,50,0%,0%,High,69,0.36,0.95,,,,,,,,,,,,,,,,,
self drive minibus hire teesside,GBP,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
teesside coach hire,GBP,50,0%,0%,High,68,0.53,1.77,,,,,,,,,,,,,,,,,
teesside mini bus hire,GBP,50,0%,∞,High,100,,,,,,,,,,,,,,,,,,,
teesside minibus,GBP,50,0%,0%,Low,27,0.52,1.13,,,,,,,,,,,,,,,,,
teesside minibus hire,GBP,50,0%,0%,Low,27,0.52,1.13
party bus hire north east,GBP,50,0%,0%,Medium,64,,,,,,,,,,,,,,,,,,,
party bus sunderland,GBP,50,0%,0%,Low,31,0.24,0.55,,,,,,,,,,,,,,,,,
party bus durham,GBP,50,0%,0%,Low,26,0.30,0.63,,,,,,,,,,,,,,,,,
party bus middlesbrough,GBP,50,0%,0%,Medium,47,0.29,0.72,,,,,,,,,,,,,,,,,
airport transfer durham,GBP,50,0%,0%,Medium,45,0.37,1.30,,,,,,,,,,,,,,,,,
airport transfer middlesbrough,GBP,50,0%,0%,Medium,44,0.26,0.97,,,,,,,,,,,,,,,,,
party bus hire middlesbrough,GBP,50,0%,0%,Medium,53,0.30,1.04,,,,,,,,,,,,,,,,,
airport taxi middlesbrough,GBP,50,0%,0%,High,88,0.42,1.48,,,,,,,,,,,,,,,,,
durham airport shuttle,GBP,50,0%,0%,High,79,,,,,,,,,,,,,,,,,,,
durham airport transfer,GBP,50,0%,0%,Medium,41,0.68,4.19,,,,,,,,,,,,,,,,,
party bus hire county durham,GBP,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
party bus hire durham,GBP,50,0%,0%,High,74,0.38,0.92,,,,,,,,,,,,,,,,,
party bus hire sunderland,GBP,50,0%,0%,Low,31,,,,,,,,,,,,,,,,,,,
minibus hire newcastle airport,GBP,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
